ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,1.1446942250809279e-94,9.438218950787616e-129,,,,,,,,,,,,,,,
1,$R_{y}$,8.735957411939436e+93,,7.410370533328069e-66,,,,,,,,,,,,,,,
2,$R_{z}$,1.0595219343969026e+128,1.3494601862383397e+65,,1.263839365581979e-66,,,,,,,,,,,,,,
3,"$R_{x,z}$",,,7.912397945758835e+65,,700476783797064.6,1.4393997758488728e-30,,,,,,,,,,,,
4,"$R_{y,z}$",,,,1.4275990627117063e-15,,,,,,,,,,,,,,
5,"$R_{x,y,z}$",,,,6.94734025097551e+29,,,1e-160,,,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,1e+160,,1.3930606305106898e+51,7.082148914209203e+65,,1.6543689331107104e+16,1.0262554955158708e-50,,,,,,0.0025947170397126328
7,"$R_{x,y,z}HF_{y}$",,,,,,,7.178438454853213e-52,,4.693615141186414e-37,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,,1.412000809519353e-66,2.1305538905928023e+36,,,,,,,,,,
9,"$R_{x,y,z}HF_{x,y}$",,,,,,,,,,,0.10544265324587455,,,,,,,
10,"$R_{x,y,z}HF_{x,z}$",,,,,,,6.044600935050803e-17,,,9.483828120942366,,4.728053873647142e-65,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,,,,,9.744162193229738e+49,,,,2.1150351216886974e+64,,,,533769497802470.1,,,1.0731357125064638e+19
12,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,438587974138770.0,1.9078550345233975e-10,,,
13,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,2.280044276096814e-15,,8.915969994794742e-07,,,
14,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,1.8734678622832546e-15,5241488383.051129,1121582.9579774414,,3.342085625336533e+16,,
15,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,2.992143565739147e-17,,87.7606625617493,3.8312686203221704e-10
16,"$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,0.011394626827211905,,
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,385.39847879164154,,,,,9.318485894615838e-20,,,,2610101507.097955,,
