ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,1469.255329023037,1.837977216026949e-88,,,,,,,,,,,,,,,
1,$R_{y}$,0.0006806168949987321,,5.635035763934898e-116,,,,,,,,,,,,,,,
2,$R_{z}$,5.440763853219265e+87,1.7746116296193805e+115,,3.414024028186251e-17,,,,,,,,,,,,,,
3,"$R_{x,z}$",,,2.9290947917881652e+16,,6.66985770890126e+27,1.5557864873738486e-24,,,,,,,,,,,,
4,"$R_{y,z}$",,,,1.4992823590006273e-28,,,,,,,,,,,,,,
5,"$R_{x,y,z}$",,,,6.427617209145386e+23,,,6.354671780756574e-149,,,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,1.5736453974353685e+148,,2.66137402245463e+38,1.975408674562329e+33,7.690063418096759e-34,,,,,,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,3.757457582296844e-39,,4221794548.218073,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,,5.062243640402965e-34,2.368660977171611e-10,,,,,,,,,,
9,"$R_{x,y,z}HF_{x,y}$",,,,,,,1.3003793930317074e+33,,,,6.408044987031747e+43,2.488741045503382e-34,,,,,,
10,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,1.5605383576796755e-44,,,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,4.0180958232146495e+33,,,11977438021.773106,,,,4.713085398352706e+18,
12,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,8.349030887758773e-11,,1966350541139.988,16.921938057678975,,52.74869182685968,
13,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,5.085563225264259e-13,,1.6568767709668206,,,
14,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,0.05909488597532195,0.6035451866565068,,,,
15,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,6.614689688218263e-05,
16,"$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,2.1217523458189726e-19,0.018957816115750557,,,15117.867158321083,,893449997655592.6
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,1.119256816412775e-15,
