ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,9.215840219747199e+21,2.0829368446837872e-142,,,,,,,,,,,,,,,
1,$R_{y}$,1.085088256909288e-22,,4.602522361388402e-141,,,,,,,,,,,,,,,
2,$R_{z}$,4.800913683735865e+141,2.1727216545197597e+140,,,1.7067640144341463e+21,,,,,,,1.0315512629125846e-130,5.854859959646635e-116,,,3.061922557842316e-124,,
3,"$R_{x,z}$",,,,,2.0657633929028806e-29,,,,,,,,,,,,,
4,"$R_{y,z}$",,,5.859040802026377e-22,4.840825447074876e+28,,1.4239184092731638e-39,,,,,,,,,,,,
5,"$R_{x,y,z}$",,,,,7.022874298748956e+38,,7.912447379110251e-135,,,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,1.2638314696918075e+134,,1.0846496310054351e+21,6.268183287559088e+62,8.174022141071396e-14,,,,,,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,9.219567051094946e-22,,2.0770856946251896e+36,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,,1.595358581783611e-63,4.814437856789776e-37,,,,,,,,,,
9,"$R_{x,y,z}HF_{x,y}$",,,,,,,12233879267042.537,,,,1.4117956006238668e+24,1.0601459509233277e-40,,,,,,
10,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,7.083178326650855e-25,,,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,9.694137712327552e+129,,,,,,,9.432663484957482e+39,,,1.2799697329658998e+18,,,5821.4441385683085,,
12,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,1.7079827816417221e+115,,,,,,,,,7.81268473968393e-19,,1032.3371670045212,5278.946504064801,3444765.5278241695,,
13,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,0.0009686757698569041,,9.08278894046077e-15,,,
14,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,0.0001894317359022293,110098341660823.62,,,,
15,"$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,3.265921920326694e+123,,,,,,,,,0.00017177868174922213,2.9029551994838785e-07,,,,56.24025040364363,11107601996725.18
16,"$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,0.01778085966585976,,
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,9.002843280618327e-14,,
