ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,5.283966164200105e-70,1e-160,,,,,,,,,,,,,,,
1,$R_{y}$,1.8925177961494037e+69,,4.192973824983343e-115,,,,,,,,,,,,,,,
2,$R_{z}$,1e+160,2.3849421478417474e+114,,7055407610942401.0,,,,,,,,1e-160,,,1.709037890598231e-135,,6.056117176784316e-136,3.1131106264810835e-111
3,"$R_{x,z}$",,,1.4173525544421786e-16,,9.554059505305178e+52,1.1255989364602375,,,,,,,,,,,,
4,"$R_{y,z}$",,,,1.0466754989800096e-53,,,,,,,,,,,,,,
5,"$R_{x,y,z}$",,,,0.8884159069524189,,,1e-160,,,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,1e+160,,1.2850862620795523e+63,1.3806113671996645e+29,1.2623423558087983e-22,,,,,,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,7.781578789752059e-64,,1.170657777133334e-34,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,,7.243167945432247e-30,8.542206095864884e+33,,,,,,,,,,
9,"$R_{x,y,z}HF_{x,y}$",,,,,,,7.921781245780093e+21,,,,6.054899731033028e+25,4.037835482314871e-34,,,,,,
10,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,1.6515550123393864e-26,,,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,1e+160,,,,,,,2.4765744032411766e+33,,,,,2.3752563818777145e+31,,9.608041885991361e+17,4403623331.105754
12,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,,149.06289804304757,0.0008958587752087902,,,
13,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,0.006708577473860813,,4.4793840895902206e-12,,,
14,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,5.851245343951739e+134,,,,,,,,,4.210071837421899e-32,1116.2473680820267,223244977434.2707,,,64177465.63207372,106032062456971.83
15,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,,1.8161526332050577e-06,
16,"$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,1.6512230044580828e+135,,,,,,,,,1.0407947965526793e-18,,,1.5581793237722275e-08,550614.5142852056,,4.924249186755917e+21
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,3.212221215313359e+110,,,,,,,,,2.27085725733245e-10,,,9.43110957976323e-15,,2.0307664418964903e-22,
