ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,9.654275886535076e-09,8.208578120964102e-64,,,,,,,,,,,,,,,
1,$R_{y}$,103581046.54899192,,1.6288367733113848e-84,,,,,,,,,,,,,,,
2,$R_{z}$,1.218237781578851e+63,6.139350586781171e+83,,3.32670674963597e-97,,,,,,,,,,,,,,
3,"$R_{x,z}$",,,3.0059758050793823e+96,,2.038416111101247e+85,2.1421308944272055e-31,,,,,,,,,,,,
4,"$R_{y,z}$",,,,4.905769703025716e-86,,,,,,,,,,,,,,
5,"$R_{x,y,z}$",,,,4.66824881057231e+30,,,1.3643243731324806e-104,,,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,7.329635236992842e+103,,70899919.7237803,1.1641298183794937e+35,2.769962145877255e-41,,,,,,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,1.4104388325063129e-08,,0.6893364637625389,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,,8.59010725618241e-36,1.4506703947471402,,,,,,,,,,
9,"$R_{x,y,z}HF_{x,y}$",,,,,,,3.6101576387546517e+40,,,,1.8014914840361401e+24,1.0279969925213071e-30,,,,,,
10,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,5.550956020949687e-25,,,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,9.7276549180106e+29,,,,,84074690.73476355,,,
12,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,,1.857940100728131e-11,8.2313636638339e-06,,,
13,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,53823048418.412285,,0.1318326092556856,,,
14,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,1.189418588710331e-08,121486.55324192453,7.585376680670322,,,3694720.332946509,
15,"$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,,,,,6.35759377220475e-14,
16,"$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,,,2.706564800271387e-07,15729221397755.49,,69988556456387.59
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,,1.428805008463257e-14,
