ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,3.524656237887643e-25,1.0065197824078922e-110,,,,,,,,,,,,,,,
1,$R_{y}$,2.8371561153983876e+24,,9.153564666777904e-109,,,,,,,,,,,,,,,
2,$R_{z}$,9.935224498098836e+109,1.0924705690116728e+108,,,4.749649828022559e-42,,,,,,,,,,,,,
3,"$R_{x,z}$",,,,,0.00018514128554214242,,,,,,,,,,,,,
4,"$R_{y,z}$",,,2.1054183702134817e+41,5401.280417124342,,1126830300551707.2,1.2679796598935678e-125,,,,,1e-160,,,,,,
5,"$R_{x,y,z}$",,,,,8.874450744805053e-16,,1e-160,,,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,7.886561840305375e+124,1e+160,,4.2296376355841154e+54,2.9481314510482505e+81,1.16107173685817e-05,,3.9540443477882816e-74,,,,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,2.3642687297534873e-55,,1.4375481412463382,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,,3.39197900977053e-82,0.6956288776061518,,,,,,,,,,
9,"$R_{x,y,z}HF_{x,y}$",,,,,,,86127.32256371807,,,,4.869186361942468e+25,6.519431306356475e-41,,,,,,
10,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,2.053731210240779e-26,,,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,,,1e+160,,2.529056105704419e+73,,,1.533876120490748e+40,,,8245448474370.236,,,,,
12,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,1.21279030862706e-13,,704795422191.5529,1.4516634469127494e+17,9958494649.764393,,
13,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,,1.4188514404513469e-12,,293677296880.22815,,,
14,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,6.888649033126091e-18,3.405098080863346e-12,,,,
15,"$R_{x,y,z}HF_{x,y,z}T_{xz,yz}$",,,,,,,,,,,,,1.0041678337635688e-10,,,,1.0145123778083283,749039700911.5415
16,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,0.9856952185840456,,
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,1.3350427204099504e-12,,
