ID,Name,$R_{x}$,$R_{y}$,$R_{z}$,"$R_{x,z}$","$R_{y,z}$","$R_{x,y,z}$","$R_{x,y,z}HF_{x}$","$R_{x,y,z}HF_{y}$","$R_{x,y,z}HF_{z}$","$R_{x,y,z}HF_{x,y}$","$R_{x,y,z}HF_{x,z}$","$R_{x,y,z}HF_{x,y,z}$","$R_{x,y,z}HF_{x,y,z}T_{xy}$","$R_{x,y,z}HF_{x,y,z}T_{yz}$","$R_{x,y,z}HF_{x,y,z}T_{xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$","$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$"
0,$R_{x}$,,1.1881365790688362e+23,8.986040415912116e-80,,,,,,,,,,,,,,,
1,$R_{y}$,8.416540805297972e-24,,1.1042965272052743e-143,,,,,,,,,,,,,,,
2,$R_{z}$,1.1128371938203623e+79,9.055538755797546e+142,,1.0214760425473698e-54,,,,,,,,,,,,,,
3,"$R_{x,z}$",,,9.789754809189527e+53,,2.3250989820776075e+31,1.2039381500746221e-61,,,,,,,,,,,,
4,"$R_{y,z}$",,,,4.300892167207623e-32,,,,,,,,,,,,,,
5,"$R_{x,y,z}$",,,,8.306074526652538e+60,,,1e-160,,,,,,,,,,,
6,"$R_{x,y,z}HF_{x}$",,,,,,1e+160,,3.0649002548824415e+100,1.3703439070203778e+29,1.0558423659832486e-28,,,,,,,,
7,"$R_{x,y,z}HF_{y}$",,,,,,,3.2627489211336715e-101,,4.430505245490502e-40,,,,,,,,,
8,"$R_{x,y,z}HF_{z}$",,,,,,,7.297438218807137e-30,2.2570789212310024e+39,,,,,,,,,,
9,"$R_{x,y,z}HF_{x,y}$",,,,,,,9.47111076631931e+27,,,,2.2490925988831683e+17,5.214529602760683e-52,,,,,,
10,"$R_{x,y,z}HF_{x,z}$",,,,,,,,,,4.44623756485869e-18,,,,,,,,
11,"$R_{x,y,z}HF_{x,y,z}$",,,,,,,,,,1.9177185214761822e+51,,,98495631.46882,,,,,
12,"$R_{x,y,z}HF_{x,y,z}T_{xy}$",,,,,,,,,,,,1.0152734543527062e-08,,1472289400.8814726,381623.1702281174,961694583713535.0,,
13,"$R_{x,y,z}HF_{x,y,z}T_{yz}$",,,,,,,,,,,,,6.792142899359944e-10,,5148466.09206725,,,
14,"$R_{x,y,z}HF_{x,y,z}T_{xz}$",,,,,,,,,,,,,2.6203859671367555e-06,1.9423260872608225e-07,,,,
15,"$R_{x,y,z}HF_{x,y,z}T_{xy,yz}$",,,,,,,,,,,,,1.039831165668575e-15,,,,1912.5944201218888,9.760993964436539e+20
16,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz}$",,,,,,,,,,,,,,,,0.0005228500038896226,,
17,"$R_{x,y,z}HF_{x,y,z}T_{xy,xz,yz}$",,,,,,,,,,,,,,,,1.024485829663891e-21,,
